price,bedRooms,pathRooms,sqftLiving,sqftLot,latitude,longitude
604000,4,3,1960,5000,47.5208,-122.393
1225000,4,4.5,5420,101930,47.6561,-122.005
468000,2,1,1160,6000,47.69,-122.292
310000,3,1,1430,19901,47.7558,-122.229
400000,3,1.75,1370,9680,47.6127,-122.045
650000,4,3,2950,5000,47.5714,-122.375
485000,4,1,1600,4300,47.6648,-122.343
385000,4,1.75,1620,4980,47.7025,-122.341
285000,5,2.5,2270,6300,47.3266,-122.169
252700,2,1.5,1070,9643,47.3533,-122.166
329000,3,2.25,2450,6500,47.3739,-122.172
233000,3,2,1710,4697,47.3048,-122.218
937000,3,1.75,2450,2691,47.6386,-122.36
438000,3,1.75,1520,6380,47.695,-122.304
322500,4,2.75,2060,6659,47.4276,-122.157
605000,4,2.5,2620,7553,47.5301,-122.18
861990,5,2.75,3595,5639,47.6848,-122.016
309000,3,1,1280,9656,47.4485,-122.175
488000,3,2.5,3160,13603,47.7443,-121.977
210490,3,1,990,8528,47.3066,-122.371
785000,4,2.5,2290,13416,47.6194,-122.151
1350000,3,2.5,2753,65005,47.4041,-122.451
228000,3,1,1190,9199,47.4258,-122.322
345000,5,2.5,3150,9134,47.4934,-122.189
600000,3,1.75,1410,4080,47.6808,-122.384
650000,3,2.25,2150,21235,47.4336,-122.339
289000,3,1.75,1260,8400,47.4366,-122.335
975000,4,2.5,2720,11049,47.5815,-122.192
204000,3,1,1000,12070,47.3621,-122.11
1325000,5,2.25,3200,20158,47.6303,-122.215
1040000,5,3.25,4770,50094,47.6525,-122.16
571000,4,2,2750,7807,47.7168,-122.287
360000,4,2.5,2380,5000,47.3608,-122.036
380000,4,1.75,1760,7300,47.6034,-122.125
480000,3,1,1040,5060,47.5636,-122.394
410000,3,1,1410,5060,47.7073,-122.34
720000,4,2.5,3450,39683,47.342,-122.025
315000,3,1,960,6634,47.7264,-122.31
940000,3,1.5,2140,3600,47.6337,-122.365
305000,5,2.25,2660,8400,47.2909,-122.189
215000,2,2.25,1610,2040,47.518,-122.194
243500,4,2.5,1980,7403,47.2897,-122.372
1099880,5,2.75,3520,6353,47.6506,-122.391
430000,3,1.5,1580,5000,47.687,-122.386
700000,3,1.5,1580,5000,47.687,-122.386
199000,4,1.5,1160,6400,47.3036,-122.378
314000,3,1.75,1810,41800,47.4109,-121.958
437500,3,2.5,2320,36847,47.4838,-121.714
850830,3,2.5,2070,13241,47.6415,-122.315
290000,3,1,1210,33919,47.4375,-122.184
460000,3,1,1670,4005,47.6878,-122.38
680000,4,2.5,3140,28037,47.7304,-122.082
272500,3,1.75,1540,12600,47.3624,-122.031
518500,3,3.5,1590,1102,47.6824,-122.347
171800,4,2,1570,9600,47.4965,-122.303
391500,3,2,1450,9132,47.7288,-122.226
1450000,4,2.75,2750,17789,47.6141,-122.212
260000,4,2.25,2160,8811,47.3129,-122.39
430000,4,2.5,2070,4310,47.5319,-121.85
212000,3,1.75,1060,7875,47.2761,-122.152
453246,3,2.5,2010,2287,47.5517,-121.998
220000,4,1.75,2020,7840,47.3309,-122.299
452000,4,2.25,2590,10002,47.7689,-122.266
665000,2,1,1110,3200,47.6338,-122.358
